IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.237.122,1,1,0.00,131.06,8.37
104.17.160.110,1,1,0.00,130.76,6.36
104.19.42.145,1,1,0.00,130.86,4.05
104.17.193.111,1,1,0.00,130.02,3.82
104.18.39.102,1,1,0.00,130.04,3.81
104.19.63.12,1,1,0.00,131.67,3.59
104.17.197.209,1,1,0.00,131.98,3.25
104.19.14.102,1,1,0.00,130.27,2.96
104.17.209.66,1,1,0.00,131.59,2.40
104.19.94.31,1,1,0.00,127.72,2.23
104.18.246.215,1,1,0.00,135.55,2.21
104.18.2.19,1,1,0.00,132.49,2.11
104.19.97.158,1,1,0.00,129.94,1.92
104.17.162.84,1,1,0.00,130.39,1.75
104.17.196.132,1,1,0.00,128.42,1.70
104.19.53.57,1,1,0.00,132.19,1.67
104.17.189.126,1,1,0.00,131.21,1.65
104.18.163.200,1,1,0.00,132.64,1.55
104.18.165.7,1,1,0.00,131.76,1.54
104.17.168.211,1,1,0.00,130.17,1.54
104.19.98.40,1,1,0.00,131.01,1.44
104.19.100.29,1,1,0.00,132.47,1.44
104.18.255.164,1,1,0.00,131.69,1.34
104.18.12.46,1,1,0.00,131.46,1.30
104.16.81.187,1,1,0.00,131.62,1.28
104.19.66.117,1,1,0.00,131.16,1.18
104.16.93.63,1,1,0.00,131.52,1.10
104.19.4.105,1,1,0.00,131.74,1.08
104.16.211.212,1,1,0.00,132.16,1.01
104.19.99.226,1,1,0.00,131.84,1.01
