IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
193.123.249.216,1,1,0.00,59.40,6.03
47.243.86.79,1,1,0.00,43.42,5.35
47.243.86.79,1,1,0.00,44.34,4.84
47.243.86.79,1,1,0.00,60.10,4.58
47.243.86.79,1,1,0.00,44.36,4.21
47.243.86.79,1,1,0.00,54.94,3.86
146.56.155.190,1,1,0.00,58.90,3.71
193.123.249.216,1,1,0.00,56.44,3.70
47.243.86.79,1,1,0.00,55.11,3.42
131.186.20.197,1,1,0.00,35.87,3.03
146.56.155.190,1,1,0.00,59.83,2.75
47.243.86.79,1,1,0.00,44.55,2.54
146.56.161.48,1,1,0.00,61.56,2.37
193.123.249.216,1,1,0.00,60.06,2.34
146.56.152.6,1,1,0.00,63.85,1.70
146.56.155.190,1,1,0.00,61.20,1.68
146.56.152.6,1,1,0.00,65.51,1.59
146.56.128.33,1,1,0.00,63.24,1.53
193.122.114.70,1,1,0.00,62.50,1.53
146.56.188.200,1,1,0.00,66.35,1.52
131.186.20.197,1,1,0.00,44.00,1.49
146.56.189.79,1,1,0.00,64.17,1.48
146.56.161.48,1,1,0.00,60.99,1.42
47.243.86.79,1,1,0.00,54.52,1.39
146.56.155.190,1,1,0.00,63.54,1.25
146.56.128.33,1,1,0.00,61.61,1.23
146.56.189.79,1,1,0.00,60.95,1.19
146.56.128.33,1,1,0.00,64.17,1.11
146.56.170.169,1,1,0.00,63.37,1.11
131.186.20.197,1,1,0.00,29.37,1.04
