IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.218.136.25,1,1,0.00,40.32,13.55
8.218.136.25,1,1,0.00,55.46,13.52
8.218.136.25,1,1,0.00,51.04,13.51
8.218.136.25,1,1,0.00,39.72,13.45
146.56.41.45,1,1,0.00,55.94,13.40
8.218.136.25,1,1,0.00,38.13,13.33
146.56.177.173,1,1,0.00,38.41,13.32
47.243.86.79,1,1,0.00,42.77,13.30
8.218.136.25,1,1,0.00,46.55,13.12
8.218.136.25,1,1,0.00,37.79,13.09
146.56.41.45,1,1,0.00,55.75,13.06
146.56.177.173,1,1,0.00,39.21,13.04
146.56.177.173,1,1,0.00,39.67,12.99
47.243.86.79,1,1,0.00,43.27,12.91
146.56.177.173,1,1,0.00,29.04,12.91
131.186.20.197,1,1,0.00,40.06,10.86
146.56.177.173,1,1,0.00,35.72,10.45
146.56.177.173,1,1,0.00,29.71,9.93
146.56.177.173,1,1,0.00,34.88,8.88
146.56.177.173,1,1,0.00,34.60,7.98
47.243.86.79,1,1,0.00,44.16,7.47
47.243.86.79,1,1,0.00,43.96,7.15
47.243.86.79,1,1,0.00,44.35,7.14
131.186.31.159,1,1,0.00,33.36,6.90
47.243.86.79,1,1,0.00,44.20,6.66
131.186.20.197,1,1,0.00,30.22,5.99
47.243.86.79,1,1,0.00,47.67,5.11
131.186.20.197,1,1,0.00,35.98,4.08
131.186.20.197,1,1,0.00,34.03,3.23
131.186.31.159,1,1,0.00,29.67,2.99
