IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.132.26,1,1,0.00,127.55,13.05
104.16.31.205,1,1,0.00,126.76,12.05
104.18.187.147,1,1,0.00,126.76,11.73
104.17.221.94,1,1,0.00,128.02,11.73
104.19.166.93,1,1,0.00,127.31,11.39
104.19.53.4,1,1,0.00,127.83,11.19
104.17.245.241,1,1,0.00,127.93,11.08
104.19.22.14,1,1,0.00,127.63,11.02
104.18.253.73,1,1,0.00,127.87,10.81
104.18.208.130,1,1,0.00,127.00,10.78
104.17.219.231,1,1,0.00,127.92,10.42
104.18.206.41,1,1,0.00,128.13,10.14
104.19.96.191,1,1,0.00,127.87,10.12
104.19.5.125,1,1,0.00,128.16,9.78
104.19.28.79,1,1,0.00,128.13,9.76
104.19.55.91,1,1,0.00,127.87,9.73
104.17.178.66,1,1,0.00,127.64,9.63
104.16.72.41,1,1,0.00,127.88,9.44
104.19.113.135,1,1,0.00,127.72,9.43
104.19.52.205,1,1,0.00,128.07,9.40
104.17.228.3,1,1,0.00,128.23,9.16
104.19.36.51,1,1,0.00,127.96,8.68
104.16.46.250,1,1,0.00,128.06,8.61
104.17.186.153,1,1,0.00,127.18,8.59
104.19.20.243,1,1,0.00,127.21,8.24
104.19.147.218,1,1,0.00,127.21,8.22
104.19.150.38,1,1,0.00,128.16,8.16
104.17.168.190,1,1,0.00,128.03,7.88
104.18.52.114,1,1,0.00,127.63,5.37
104.16.104.48,1,1,0.00,127.33,5.33
