IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.218.136.25,1,1,0.00,42.22,13.32
47.243.86.79,1,1,0.00,119.91,12.64
47.74.34.31,1,1,0.00,97.23,11.97
47.91.31.231,1,1,0.00,97.88,10.94
158.180.73.61,1,1,0.00,133.16,10.86
104.17.129.100,1,1,0.00,131.50,10.70
162.159.136.38,1,1,0.00,132.96,10.26
104.18.12.146,1,1,0.00,132.00,9.59
104.17.253.38,1,1,0.00,131.90,9.02
104.18.14.145,1,1,0.00,131.36,8.91
154.83.2.52,1,1,0.00,132.01,8.76
104.18.15.15,1,1,0.00,130.03,8.72
104.18.6.100,1,1,0.00,130.67,8.00
158.180.87.22,1,1,0.00,125.68,7.71
152.67.197.198,1,1,0.00,127.16,6.72
47.74.34.31,1,1,0.00,104.69,6.46
158.180.73.170,1,1,0.00,132.05,6.34
152.67.219.199,1,1,0.00,134.55,5.62
158.180.78.33,1,1,0.00,134.19,5.35
158.180.73.201,1,1,0.00,123.48,4.98
138.2.115.34,1,1,0.00,133.93,4.80
158.180.67.192,1,1,0.00,122.85,3.73
158.180.66.248,1,1,0.00,133.36,3.59
158.180.82.251,1,1,0.00,118.49,3.55
158.180.84.151,1,1,0.00,130.48,3.40
158.180.87.130,1,1,0.00,133.83,3.17
158.180.72.106,1,1,0.00,122.02,2.02
158.180.66.96,1,1,0.00,118.80,1.68
158.180.83.144,1,1,0.00,122.33,1.59
193.123.249.197,1,1,0.00,90.30,1.46
