IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.108.138,1,1,0.00,140.37,8.73
172.64.88.118,1,1,0.00,139.61,7.41
198.41.223.115,1,1,0.00,141.19,5.76
162.159.26.122,1,1,0.00,131.03,4.26
172.64.91.187,1,1,0.00,140.69,4.17
162.159.39.194,1,1,0.00,138.93,3.67
162.159.200.93,1,1,0.00,140.21,3.63
172.64.36.102,1,1,0.00,130.71,3.31
172.64.68.201,1,1,0.00,139.88,3.09
198.41.194.220,1,1,0.00,142.36,2.90
172.64.138.2,1,1,0.00,141.02,2.75
172.64.139.71,1,1,0.00,140.51,2.68
162.159.56.23,1,1,0.00,137.54,2.45
198.41.199.200,1,1,0.00,143.42,2.05
172.64.104.116,1,1,0.00,141.16,1.99
172.64.69.129,1,1,0.00,140.71,1.97
198.41.198.63,1,1,0.00,140.75,1.96
172.64.33.3,1,1,0.00,131.09,1.84
172.64.109.101,1,1,0.00,140.04,1.83
172.64.87.58,1,1,0.00,131.30,1.78
172.66.2.118,1,1,0.00,142.71,1.76
172.64.171.91,1,1,0.00,143.15,1.73
172.66.1.45,1,1,0.00,131.31,1.65
172.66.0.100,1,1,0.00,140.60,1.62
190.93.246.152,1,1,0.00,135.53,1.62
172.64.173.11,1,1,0.00,143.41,1.49
172.64.148.227,1,1,0.00,130.53,1.46
172.64.80.49,1,1,0.00,131.57,1.23
198.41.207.62,1,1,0.00,141.19,1.12
198.41.200.183,1,1,0.00,133.52,1.06
