IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.14.15,1,1,0.00,159.05,6.40
47.74.56.138,1,1,0.00,112.67,5.14
104.18.19.51,1,1,0.00,162.01,3.89
104.18.24.203,1,1,0.00,142.78,3.73
47.243.86.79,1,1,0.00,44.09,3.24
104.17.232.29,1,1,0.00,140.29,3.20
103.160.204.12,1,1,0.00,148.75,2.92
104.18.11.162,1,1,0.00,161.46,2.59
104.16.161.13,1,1,0.00,170.29,2.40
104.18.12.146,1,1,0.00,164.17,2.33
144.24.75.81,1,1,0.00,140.10,2.09
154.83.2.52,1,1,0.00,152.89,2.06
104.16.160.13,1,1,0.00,168.87,1.99
162.159.152.4,1,1,0.00,167.10,1.98
104.18.14.213,1,1,0.00,136.69,1.82
104.16.133.24,1,1,0.00,136.69,1.81
104.18.30.192,1,1,0.00,158.96,1.78
162.159.136.38,1,1,0.00,142.79,1.77
104.19.149.54,1,1,0.00,167.97,1.74
158.180.87.130,1,1,0.00,147.45,1.73
162.159.129.70,1,1,0.00,142.16,1.69
162.159.129.70,1,1,0.00,140.66,1.58
104.16.200.35,1,1,0.00,165.49,1.51
172.67.186.5,1,1,0.00,174.46,1.48
154.83.2.83,1,1,0.00,150.11,1.40
47.74.42.69,1,1,0.00,110.02,1.30
104.18.29.153,1,1,0.00,143.40,1.28
185.148.104.5,1,1,0.00,150.61,1.23
104.18.149.91,1,1,0.00,169.77,1.16
104.18.39.132,1,1,0.00,141.38,1.06
