IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.104.129,1,1,0.00,137.48,11.79
198.41.208.166,1,1,0.00,130.20,11.45
172.64.103.79,1,1,0.00,138.09,11.20
172.66.3.54,1,1,0.00,133.89,11.14
198.41.214.143,1,1,0.00,130.20,10.85
198.41.221.60,1,1,0.00,129.70,10.85
190.93.246.90,1,1,0.00,128.08,10.75
172.64.152.110,1,1,0.00,128.24,10.71
172.64.111.24,1,1,0.00,136.74,10.61
172.64.150.220,1,1,0.00,134.39,10.58
172.64.207.52,1,1,0.00,137.57,10.56
172.64.198.237,1,1,0.00,138.68,10.46
172.64.128.234,1,1,0.00,138.43,10.39
172.64.143.191,1,1,0.00,138.48,10.37
198.41.220.117,1,1,0.00,136.60,10.23
172.64.32.10,1,1,0.00,135.94,10.12
198.41.202.173,1,1,0.00,129.76,10.04
198.41.207.53,1,1,0.00,127.80,10.00
172.64.80.218,1,1,0.00,128.48,9.98
172.64.42.253,1,1,0.00,138.56,9.85
172.64.98.83,1,1,0.00,138.34,9.79
172.64.129.150,1,1,0.00,138.15,9.63
172.64.94.64,1,1,0.00,128.16,9.23
198.41.193.1,1,1,0.00,137.97,9.04
172.64.106.252,1,1,0.00,137.58,9.02
172.64.89.1,1,1,0.00,134.08,8.87
172.66.46.70,1,1,0.00,135.00,8.80
172.64.154.104,1,1,0.00,130.12,8.72
172.64.81.236,1,1,0.00,128.74,8.61
172.64.201.198,1,1,0.00,138.26,8.57
