IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
47.242.155.183,1,1,0.00,35.50,13.15
47.242.174.27,1,1,0.00,36.40,13.14
8.218.136.25,1,1,0.00,37.98,12.88
47.242.174.27,1,1,0.00,35.75,12.86
172.66.43.27,1,1,0.00,180.27,9.35
172.64.166.27,1,1,0.00,180.16,8.87
146.56.37.227,1,1,0.00,150.64,7.96
104.17.232.29,1,1,0.00,152.52,5.97
104.17.232.29,1,1,0.00,173.71,5.44
104.17.129.100,1,1,0.00,174.78,4.55
104.17.253.38,1,1,0.00,138.68,4.38
103.160.204.149,1,1,0.00,141.93,4.35
104.16.163.13,1,1,0.00,153.49,3.70
104.18.39.132,1,1,0.00,174.21,3.56
154.92.9.1,1,1,0.00,160.04,3.27
104.19.253.8,1,1,0.00,173.97,2.97
172.67.198.244,1,1,0.00,181.50,2.65
185.148.104.5,1,1,0.00,159.72,2.42
162.159.136.38,1,1,0.00,173.43,2.37
104.18.15.49,1,1,0.00,159.27,2.27
104.18.24.81,1,1,0.00,154.22,2.02
104.18.14.15,1,1,0.00,139.74,1.98
104.16.161.13,1,1,0.00,155.12,1.94
104.18.4.195,1,1,0.00,172.76,1.81
172.66.43.110,1,1,0.00,153.78,1.79
154.92.9.0,1,1,0.00,142.11,1.68
103.160.204.3,1,1,0.00,154.47,1.66
104.18.22.54,1,1,0.00,153.98,1.64
104.18.22.159,1,1,0.00,151.86,1.63
104.21.34.85,1,1,0.00,178.68,1.56
