IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.218.136.25,1,1,0.00,36.19,13.11
47.242.155.183,1,1,0.00,36.69,13.09
146.56.177.173,1,1,0.00,35.18,12.88
132.145.80.220,1,1,0.00,34.81,12.47
146.56.177.173,1,1,0.00,29.98,12.38
131.186.31.159,1,1,0.00,31.41,12.26
132.145.80.220,1,1,0.00,30.39,11.96
146.56.177.173,1,1,0.00,32.05,11.87
146.56.177.173,1,1,0.00,34.79,11.81
146.56.177.173,1,1,0.00,34.98,11.73
146.56.184.135,1,1,0.00,29.79,11.05
131.186.31.159,1,1,0.00,33.48,10.82
146.56.177.173,1,1,0.00,30.15,10.45
132.145.80.220,1,1,0.00,32.18,10.31
146.56.184.135,1,1,0.00,28.81,9.91
131.186.31.159,1,1,0.00,28.66,9.81
146.56.184.135,1,1,0.00,31.77,9.49
146.56.184.135,1,1,0.00,29.34,9.00
146.56.184.135,1,1,0.00,34.51,8.44
132.145.80.220,1,1,0.00,29.88,8.09
131.186.20.197,1,1,0.00,31.97,7.38
146.56.184.135,1,1,0.00,34.40,6.95
131.186.31.159,1,1,0.00,28.49,6.48
131.186.20.197,1,1,0.00,30.75,6.12
131.186.20.197,1,1,0.00,30.74,6.07
131.186.20.197,1,1,0.00,29.46,4.48
131.186.20.197,1,1,0.00,34.89,4.02
131.186.20.197,1,1,0.00,34.67,2.63
131.186.31.159,1,1,0.00,34.11,2.37
131.186.20.197,1,1,0.00,29.58,1.82
