IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.85.61,1,1,0.00,128.92,10.40
162.159.26.141,1,1,0.00,141.73,10.12
172.64.139.216,1,1,0.00,141.23,7.79
162.159.129.107,1,1,0.00,142.42,6.10
172.64.149.18,1,1,0.00,131.63,3.76
172.64.142.160,1,1,0.00,142.55,3.66
198.41.214.111,1,1,0.00,141.88,3.06
172.64.41.145,1,1,0.00,142.86,3.05
172.64.69.135,1,1,0.00,139.92,2.52
162.159.240.133,1,1,0.00,141.24,2.43
172.64.161.203,1,1,0.00,143.37,2.39
172.64.162.22,1,1,0.00,143.37,2.34
172.64.156.120,1,1,0.00,131.58,2.26
172.64.172.162,1,1,0.00,142.86,2.25
172.66.3.130,1,1,0.00,131.33,2.17
162.159.140.3,1,1,0.00,141.77,2.06
172.64.150.12,1,1,0.00,130.99,1.99
162.159.250.102,1,1,0.00,142.68,1.96
162.159.242.57,1,1,0.00,142.18,1.86
172.64.108.49,1,1,0.00,140.80,1.86
172.64.164.56,1,1,0.00,143.37,1.77
162.159.128.57,1,1,0.00,142.42,1.67
172.64.106.124,1,1,0.00,140.16,1.31
162.159.255.134,1,1,0.00,143.34,1.25
172.64.38.10,1,1,0.00,131.11,1.23
198.41.208.23,1,1,0.00,130.97,1.20
172.64.109.85,1,1,0.00,140.96,1.12
172.64.103.13,1,1,0.00,137.83,1.11
172.64.134.216,1,1,0.00,140.73,1.10
162.159.56.180,1,1,0.00,133.94,1.00
