IP 地址,2096,已接收,丢包率,平均延迟,下载速度 (MB/s)
150.230.108.135,2096,4,0.00,103.68,0.00
103.172.110.101,2096,4,0.00,104.04,0.00
103.172.110.98,2096,4,0.00,104.71,0.00
103.172.110.97,2096,4,0.00,104.83,0.00
131.186.47.129,2096,4,0.00,106.58,0.00
103.172.110.99,2096,4,0.00,106.92,0.00
141.147.172.107,2096,4,0.00,107.60,0.00
168.138.210.122,2096,4,0.00,108.75,0.00
103.172.110.104,2096,4,0.00,108.90,0.00
150.230.101.152,2096,4,0.00,109.76,0.00
103.172.110.99,2096,4,0.00,113.44,0.00
103.172.110.109,2096,4,0.00,115.31,0.00
158.180.84.50,2096,4,0.00,116.53,0.00
103.172.110.97,2096,4,0.00,122.31,0.00
158.101.75.213,2096,4,0.00,124.59,0.00
103.172.110.103,2096,4,0.00,124.79,0.00
103.172.110.97,2096,4,0.00,124.97,0.00
103.172.110.98,2096,4,0.00,125.03,0.00
168.138.202.38,2096,4,0.00,128.41,0.00
103.172.111.168,2096,4,0.00,128.69,0.00
103.172.111.96,2096,4,0.00,128.91,0.00
104.16.15.194,2096,4,0.00,129.17,0.00
103.172.111.249,2096,4,0.00,129.62,0.00
103.172.111.168,2096,4,0.00,130.03,0.00
103.172.110.104,2096,4,0.00,131.69,0.00
47.88.13.240,2096,4,0.00,131.93,0.00
103.172.111.168,2096,4,0.00,132.78,0.00
103.172.111.249,2096,4,0.00,132.80,0.00
103.172.111.249,2096,4,0.00,133.22,0.00
103.172.111.101,2096,4,0.00,133.30,0.00
103.160.204.3,2096,4,0.00,133.54,0.00
103.172.111.65,2096,4,0.00,133.71,0.00
103.172.111.249,2096,4,0.00,133.76,0.00
103.172.111.168,2096,4,0.00,134.12,0.00
47.89.218.41,2096,4,0.00,134.23,0.00
103.172.111.101,2096,4,0.00,134.55,0.00
103.172.111.101,2096,4,0.00,135.05,0.00
103.160.204.3,2096,4,0.00,135.38,0.00
47.251.13.205,2096,4,0.00,135.47,0.00
47.251.13.205,2096,4,0.00,135.52,0.00
47.88.61.230,2096,4,0.00,135.95,0.00
103.172.111.65,2096,4,0.00,136.18,0.00
103.172.111.249,2096,4,0.00,136.36,0.00
47.88.46.136,2096,4,0.00,136.36,0.00
47.251.42.131,2096,4,0.00,137.13,0.00
47.88.77.61,2096,4,0.00,137.28,0.00
47.88.13.53,2096,4,0.00,137.43,0.00
103.172.111.101,2096,4,0.00,137.49,0.00
47.89.218.41,2096,4,0.00,137.54,0.00
103.172.111.249,2096,4,0.00,137.70,0.00
103.172.111.168,2096,4,0.00,137.83,0.00
103.172.110.108,2096,4,0.00,137.92,0.00
47.88.30.187,2096,4,0.00,138.16,0.00
103.172.111.96,2096,4,0.00,138.23,0.00
103.172.111.65,2096,4,0.00,138.35,0.00
103.172.111.96,2096,4,0.00,138.52,0.00
156.234.127.102,2096,4,0.00,138.58,0.00
103.172.111.168,2096,4,0.00,138.64,0.00
172.65.240.65,2096,4,0.00,138.79,0.00
103.172.111.96,2096,4,0.00,138.91,0.00
103.172.111.96,2096,4,0.00,139.04,0.00
47.89.227.208,2096,4,0.00,139.11,0.00
47.88.9.33,2096,4,0.00,139.19,0.00
103.172.111.168,2096,4,0.00,139.34,0.00
103.172.111.96,2096,4,0.00,139.73,0.00
47.88.12.253,2096,4,0.00,139.76,0.00
47.88.34.118,2096,4,0.00,139.78,0.00
47.88.11.145,2096,4,0.00,139.87,0.00
103.172.111.168,2096,4,0.00,140.16,0.00
103.172.111.168,2096,4,0.00,140.25,0.00
103.172.111.168,2096,4,0.00,140.35,0.00
103.172.111.168,2096,4,0.00,140.39,0.00
103.172.111.168,2096,4,0.00,140.40,0.00
103.172.111.168,2096,4,0.00,140.60,0.00
103.172.111.65,2096,4,0.00,140.68,0.00
103.172.111.168,2096,4,0.00,140.81,0.00
47.88.76.182,2096,4,0.00,141.02,0.00
103.172.111.188,2096,4,0.00,141.40,0.00
103.172.111.168,2096,4,0.00,141.52,0.00
158.180.67.192,2096,4,0.00,141.52,0.00
103.172.111.249,2096,4,0.00,141.53,0.00
47.251.47.242,2096,4,0.00,141.56,0.00
103.172.111.101,2096,4,0.00,141.56,0.00
103.172.111.168,2096,4,0.00,141.93,0.00
103.172.111.249,2096,4,0.00,142.05,0.00
104.16.15.194,2096,4,0.00,142.14,0.00
103.172.111.168,2096,4,0.00,142.25,0.00
103.172.111.168,2096,4,0.00,142.27,0.00
47.88.13.53,2096,4,0.00,142.40,0.00
103.172.111.96,2096,4,0.00,142.67,0.00
103.172.111.168,2096,4,0.00,142.74,0.00
47.251.3.62,2096,4,0.00,142.74,0.00
103.172.110.108,2096,4,0.00,142.77,0.00
103.172.111.65,2096,4,0.00,142.89,0.00
47.88.28.213,2096,4,0.00,142.91,0.00
47.88.10.227,2096,4,0.00,143.06,0.00
156.234.127.103,2096,4,0.00,143.07,0.00
156.234.127.100,2096,4,0.00,143.15,0.00
103.172.111.168,2096,4,0.00,143.18,0.00
103.172.111.168,2096,4,0.00,143.18,0.00
103.172.111.249,2096,4,0.00,143.27,0.00
103.172.111.65,2096,4,0.00,143.32,0.00
47.88.12.253,2096,4,0.00,143.63,0.00
103.172.111.168,2096,4,0.00,144.01,0.00
103.172.111.65,2096,4,0.00,144.05,0.00
103.172.111.65,2096,4,0.00,144.11,0.00
103.172.111.96,2096,4,0.00,144.35,0.00
47.251.42.131,2096,4,0.00,144.38,0.00
103.172.111.168,2096,4,0.00,144.41,0.00
47.251.43.132,2096,4,0.00,144.50,0.00
103.172.111.65,2096,4,0.00,144.75,0.00
103.172.111.249,2096,4,0.00,144.81,0.00
103.172.111.96,2096,4,0.00,144.86,0.00
47.251.6.118,2096,4,0.00,144.99,0.00
103.172.111.168,2096,4,0.00,145.07,0.00
104.16.161.13,2096,4,0.00,145.31,0.00
47.89.234.203,2096,4,0.00,145.49,0.00
47.88.55.200,2096,4,0.00,145.55,0.00
103.172.111.249,2096,4,0.00,145.56,0.00
104.18.36.141,2096,4,0.00,145.61,0.00
47.251.62.121,2096,4,0.00,145.73,0.00
47.251.57.253,2096,4,0.00,145.81,0.00
103.160.204.12,2096,4,0.00,145.91,0.00
47.251.44.201,2096,4,0.00,145.94,0.00
47.89.241.100,2096,4,0.00,145.99,0.00
47.251.6.118,2096,4,0.00,146.11,0.00
47.254.83.213,2096,4,0.00,146.49,0.00
47.88.60.74,2096,4,0.00,146.74,0.00
103.172.111.249,2096,4,0.00,147.03,0.00
103.172.110.100,2096,4,0.00,147.25,0.00
103.172.111.65,2096,4,0.00,147.49,0.00
103.172.111.107,2096,4,0.00,147.55,0.00
103.172.110.97,2096,4,0.00,147.61,0.00
103.172.111.65,2096,4,0.00,147.70,0.00
103.172.111.240,2096,4,0.00,147.70,0.00
104.16.160.13,2096,4,0.00,148.08,0.00
103.172.111.97,2096,4,0.00,148.12,0.00
