IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
193.122.114.70,4,4,0.00,62.73,9.71
131.186.20.197,4,4,0.00,38.93,9.06
131.186.20.197,4,4,0.00,33.64,8.41
131.186.20.197,4,4,0.00,43.13,7.40
131.186.20.197,4,4,0.00,40.15,6.97
193.123.249.216,4,4,0.00,66.37,5.35
146.56.155.190,4,4,0.00,68.01,4.88
131.186.20.197,4,4,0.00,53.94,4.85
193.123.249.216,4,4,0.00,63.76,4.71
146.56.128.33,4,4,0.00,67.47,4.39
132.145.81.109,4,4,0.00,68.72,4.29
146.56.128.20,4,4,0.00,68.07,4.19
47.243.86.79,4,4,0.00,57.12,4.08
47.243.86.79,4,4,0.00,59.45,3.62
47.243.86.79,4,4,0.00,48.26,3.58
146.56.189.79,4,4,0.00,67.40,3.57
193.123.249.216,4,4,0.00,62.58,3.54
193.123.249.216,4,4,0.00,57.25,3.50
47.243.86.79,4,4,0.00,48.92,3.26
146.56.189.79,4,4,0.00,66.67,3.02
132.145.81.109,4,4,0.00,65.85,2.94
132.145.81.109,4,4,0.00,65.99,2.80
132.145.81.109,4,4,0.00,68.64,2.77
47.243.86.79,4,4,0.00,47.29,2.77
146.56.128.20,4,4,0.00,67.26,2.47
146.56.188.200,4,4,0.00,67.32,2.06
146.56.170.169,4,4,0.00,66.71,1.90
146.56.188.200,4,4,0.00,64.67,1.54
131.186.20.197,4,4,0.00,63.81,1.32
132.145.81.109,4,4,0.00,67.62,1.25
